"insee","nom","pixels_total_1990","pixels_total_2000","pixels_total_2012","agri_1990","agri_2000","agri_2012","foret_1990","foret_2000","foret_2012","agri_adj_foret_1990","agri_adj_foret_2000","agri_adj_foret_2012","diff_agri_12_90","diff_foret_12_90","agri_to_foret_90_12","foret_to_agri_90_12","diff_agri_00_90","diff_foret_00_90","agri_to_foret_90_00","foret_to_agri_90_00","agri_to_foret_00_12","foret_to_agri_00_12","diff_agri_12_00","diff_foret_12_00"
"01001","L'Abergement-Clémenciat",445,365,332,383,303,272,0,0,0,0,0,0,-111,0,0,0,-80,0,0,0,0,0,-31,0
"01002","L'Abergement-de-Varey",344,344,344,339,339,339,5,5,5,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0
"01004","Ambérieu-en-Bugey",1312,1312,1380,478,448,329,117,117,169,0,0,0,-149,52,0,0,-30,0,0,0,0,0,-119,52
"01005","Ambérieux-en-Dombes",805,637,634,691,528,525,0,0,0,0,0,0,-166,0,0,0,-163,0,0,0,0,0,-3,0
"01006","Ambléon",194,194,195,138,138,139,23,23,23,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"01007","Ambronay",1607,1627,1621,949,924,884,268,268,280,81,81,81,-65,12,0,0,-25,0,0,0,0,0,-40,12
"01008","Ambutrix",274,186,188,181,145,118,53,0,0,0,0,0,-63,-53,0,0,-36,-53,0,0,0,0,-27,0
"01009","Andert-et-Condon",271,266,278,271,266,278,0,0,0,0,0,0,7,0,0,0,-5,0,0,0,0,0,12,0
"01010","Anglefort",914,914,929,365,365,382,402,402,394,24,24,24,17,-8,0,0,0,0,0,0,0,0,17,-8
"01011","Apremont",1617,1617,1617,495,495,506,1096,1096,1085,269,269,280,11,-11,0,11,0,0,0,0,0,11,11,-11
"01012","Aranc",1360,1361,1335,805,805,823,555,556,512,163,165,136,18,-43,0,13,0,1,0,0,0,13,18,-44
"01013","Arandas",719,719,723,349,349,354,370,370,369,60,60,60,5,-1,0,0,0,0,0,0,0,0,5,-1
"01014","Arbent",2108,2110,2133,85,85,49,1706,1699,1691,60,60,42,-36,-15,0,0,0,-7,0,0,0,0,-36,-8
"01015","Arboys en Bugey",826,793,824,631,598,598,158,158,158,3,3,3,-33,0,0,0,-33,0,0,0,0,0,0,0
"01016","Arbigny",1098,1125,1100,1046,1073,1049,0,0,0,0,0,0,3,0,0,0,27,0,0,0,0,0,-24,0
"01017","Argis",412,412,412,268,268,266,91,91,88,8,8,8,-2,-3,0,2,0,0,0,0,0,2,-2,-3
"01019","Armix",251,251,250,245,245,244,6,6,6,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0
"01021","Ars-sur-Formans",156,141,143,95,80,76,0,0,0,0,0,0,-19,0,0,0,-15,0,0,0,0,0,-4,0
"01022","Artemare",329,324,324,137,131,104,121,121,120,50,47,39,-33,-1,0,0,-6,0,0,0,0,0,-27,-1
"01023","Asnières-sur-Saône",460,268,268,460,268,268,0,0,0,0,0,0,-192,0,0,0,-192,0,0,0,0,0,0,0
"01024","Attignat",1633,1465,1441,1399,1224,1142,0,0,0,0,0,0,-257,0,0,0,-175,0,0,0,0,0,-82,0
"01025","Bâgé-Dommartin",3327,3185,3173,3198,3048,2909,0,0,0,0,0,0,-289,0,0,0,-150,0,0,0,0,0,-139,0
"01026","Bâgé-le-Châtel",85,85,85,36,36,32,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,-4,0
"01027","Balan",876,746,787,210,79,73,299,299,333,11,0,0,-137,34,0,0,-131,0,0,0,0,0,-6,34
"01028","Baneins",265,248,236,237,220,208,0,0,0,0,0,0,-29,0,0,0,-17,0,0,0,0,0,-12,0
"01029","Beaupont",968,903,895,899,807,794,42,42,41,21,21,21,-105,-1,0,1,-92,0,0,0,0,1,-13,-1
"01030","Beauregard",55,75,101,1,21,46,0,0,0,0,0,0,45,0,0,0,20,0,0,0,0,0,25,0
"01031","Bellignat",825,825,825,99,65,56,536,536,536,51,51,48,-43,0,0,0,-34,0,0,0,0,0,-9,0
"01032","Béligneux",753,645,674,241,151,162,260,288,263,0,0,11,-79,3,0,0,-90,28,0,0,0,0,11,-25
"01033","Valserhône",4649,4699,4747,1256,1334,1295,2586,2581,2564,234,239,245,39,-22,1,22,78,-5,0,13,1,9,-39,-17
