traitement,variable_dependante,seuil,estimateur_as,n_observations_trim,n_switchers,n_stayers,commentaire
forêt,log(productivite),0.001,-0.0011453362878183322,16318,1130,15188,OK
forêt,log(productivite),0.002,-0.0010266315683490038,16529,1239,15290,OK
forêt,log(productivite),0.003,-9.940423291678905e-4,16642,1264,15378,OK
forêt,log(productivite),0.004,-0.0010520703857743836,16835,1387,15448,OK
forêt,log(productivite),0.005,-0.0014358061219273855,17005,1481,15524,OK
forêt,log(productivite),0.006,-0.0012323771621964108,17119,1535,15584,OK
forêt,log(productivite),0.007,-0.0010931327045950812,17227,1588,15639,OK
forêt,log(productivite),0.008,-0.001054907428138822,17338,1653,15685,OK
forêt,log(productivite),0.009000000000000001,-9.359468076396235e-4,17426,1688,15738,OK
forêt,log(productivite),0.010000000000000002,-7.616602313824363e-4,17519,1742,15777,OK
forêt,log(productivite),0.011,-6.997080806931467e-4,17631,1810,15821,OK
forêt,log(productivite),0.012,-3.993718644822144e-4,17763,1897,15866,OK
forêt,log(productivite),0.013000000000000001,-3.67001627526748e-4,17828,1921,15907,OK
forêt,log(productivite),0.014000000000000002,-1.8579018897521595e-4,17906,1955,15951,OK
forêt,log(productivite),0.015,-8.500193628950141e-5,18011,2020,15991,OK
forêt,log(productivite),0.016,2.5278962302598247e-5,18094,2066,16028,OK
forêt,log(productivite),0.017,8.597155397580474e-5,18197,2139,16058,OK
forêt,log(productivite),0.018000000000000002,-9.428490407978656e-5,18376,2274,16102,OK
forêt,log(productivite),0.019000000000000003,-4.8155848465999515e-5,18414,2287,16127,OK
forêt,log(productivite),0.02,-4.679384228369885e-5,18487,2325,16162,OK
forêt,log(productivite),0.021,-4.0951919987056287e-4,18584,2388,16196,OK
forêt,log(productivite),0.022000000000000002,-3.807997594340393e-4,18712,2476,16236,OK
forêt,log(productivite),0.023,-1.7008730352834262e-4,18768,2511,16257,OK
forêt,log(productivite),0.024,-9.85406205727013e-5,18851,2563,16288,OK
forêt,log(productivite),0.025,-1.3280619804728613e-4,18911,2588,16323,OK
forêt,log(productivite),0.026000000000000002,-7.674175161628465e-5,18995,2648,16347,OK
forêt,log(productivite),0.027000000000000003,3.1297218709885145e-5,19062,2691,16371,OK
forêt,log(productivite),0.028,2.0875093901967498e-4,19096,2698,16398,OK
forêt,log(productivite),0.029,3.581980589877658e-4,19189,2756,16433,OK
forêt,log(productivite),0.030000000000000002,5.861625518557027e-4,19290,2825,16465,OK
forêt,log(productivite),0.031,5.648705579132595e-4,19377,2887,16490,OK
forêt,log(productivite),0.032,4.5435462721937927e-4,19463,2936,16527,OK
forêt,log(productivite),0.033,3.7894644980914643e-4,19510,2960,16550,OK
forêt,log(productivite),0.034,3.585966507153584e-4,19586,3007,16579,OK
forêt,log(productivite),0.035,4.827351499442177e-4,19638,3031,16607,OK
forêt,log(productivite),0.036000000000000004,4.5311332578374156e-4,19654,3032,16622,OK
forêt,log(productivite),0.037000000000000005,3.818713419302942e-4,19721,3072,16649,OK
forêt,log(productivite),0.038,3.2779060549733115e-4,19768,3096,16672,OK
forêt,log(productivite),0.039,3.017806983395319e-4,19837,3144,16693,OK
forêt,log(productivite),0.04,2.9583632728327346e-4,19901,3180,16721,OK
forêt,log(productivite),0.041,2.7500894523392085e-4,19945,3198,16747,OK
forêt,log(productivite),0.042,3.3765193223730526e-4,20002,3234,16768,OK
forêt,log(productivite),0.043000000000000003,2.5965792285232266e-4,20051,3254,16797,OK
forêt,log(productivite),0.044000000000000004,1.7637858698622374e-4,20090,3272,16818,OK
forêt,log(productivite),0.045,4.8826989820857793e-4,20172,3329,16843,OK
forêt,log(productivite),0.046,0.0011088712389193867,20237,3368,16869,OK
forêt,log(productivite),0.047,0.001114562457490758,20285,3394,16891,OK
forêt,log(productivite),0.048,0.001001637299091727,20330,3422,16908,OK
forêt,log(productivite),0.049,9.002562487267154e-4,20422,3491,16931,OK
forêt,log(productivite),0.05,8.097134017613011e-4,20477,3521,16956,OK
forêt,log(productivite),0.051000000000000004,8.797610171325251e-4,20550,3562,16988,OK
forêt,log(productivite),0.052000000000000005,8.753023714029703e-4,20569,3563,17006,OK
forêt,log(productivite),0.053000000000000005,9.313646853675325e-4,20605,3578,17027,OK
forêt,log(productivite),0.054,9.273579678127495e-4,20620,3578,17042,OK
forêt,log(productivite),0.055,0.0010169396819631376,20648,3584,17064,OK
forêt,log(productivite),0.056,0.0010481147644692838,20680,3600,17080,OK
forêt,log(productivite),0.057,0.0010573037524329108,20706,3610,17096,OK
forêt,log(productivite),0.058,0.001001170223961145,20750,3639,17111,OK
forêt,log(productivite),0.059000000000000004,9.451337426557018e-4,20778,3636,17142,OK
forêt,log(productivite),0.060000000000000005,0.0011067103408914536,20844,3681,17163,OK
