traitement,seuil,n_switchers,part_switchers,part_variation_conservee
Forêt,0,12254,1,1
Forêt,0.12015108932766577,8942,0.7297209074587889,0.9940687173768743
Forêt,0.24030217865533154,7599,0.6201240411294271,0.984491760065485
Forêt,0.3604532679829973,6699,0.5466786355475763,0.9736049110539193
Forêt,0.4806043573106631,6085,0.49657254773951365,0.9631166521736932
Forêt,0.6007554466383289,5559,0.4536477884772319,0.9515813457140881
Forêt,0.7209065359659946,5155,0.4206789619716011,0.9407681995193604
Forêt,0.8410576252936603,4763,0.388689407540395,0.928396549742875
Forêt,0.9612087146213262,4458,0.36379957564876775,0.9172398004939385
Forêt,1.081359803948992,4190,0.3419291659866166,0.9060729205839416
Forêt,1.2015108932766578,3948,0.32218051248571894,0.8948629861751882
Forêt,1.3216619826043234,3721,0.30365594907785215,0.8832290664647247
Forêt,1.4418130719319893,3508,0.2862738697568141,0.8712464486246484
Forêt,1.561964161259655,3342,0.2727272727272727,0.8611000759987577
Forêt,1.6821152505873207,3154,0.2573853435612861,0.848688654662622
Forêt,1.8022663399149865,3024,0.24677656275501877,0.8395003850773647
Forêt,1.9224174292426524,2861,0.23347478374408356,0.8271234961036087
Forêt,2.042568518570318,2748,0.2242533050432512,0.8180045733250427
Forêt,2.162719607897984,2625,0.21421576628039823,0.8075076292637295
Forêt,2.2828706972256496,2517,0.20540231761057615,0.7977695761743778
Forêt,2.4030217865533157,2438,0.19895544312061367,0.7902160520573395
Forêt,2.5231728758809813,2353,0.19201893259343888,0.7816906618039997
Forêt,2.643323965208647,2267,0.18500081606006202,0.7726565585643999
Forêt,2.763475054536313,2180,0.1779010935204831,0.7630853484103426
Forêt,2.8836261438639785,2099,0.17129100701811653,0.7537616455788579
Forêt,3.003777233191644,2024,0.1651705565529623,0.7447694342815351
Forêt,3.12392832251931,1949,0.15905010608780806,0.7354175676867718
Forêt,3.244079411846976,1878,0.15325607964746205,0.7262236065167289
Forêt,3.3642305011746414,1816,0.14819650726293454,0.7178736166331631
Forêt,3.4843815905023074,1747,0.14256569283499265,0.7082717893237149
Forêt,3.604532679829973,1698,0.1385669985310919,0.701205315826689
Forêt,3.724683769157639,1649,0.13456830422719113,0.6939165024044954
Forêt,3.8448348584853047,1603,0.13081442794189652,0.6868350055520663
Forêt,3.9649859478129703,1546,0.1261628855883793,0.6778125232605152
Forêt,4.085137037140636,1501,0.12249061530928676,0.6704555030533019
Forêt,4.205288126468302,1453,0.11857352701158805,0.6623543994739767
Forêt,4.325439215795968,1419,0.11579892280071813,0.6564451371935843
Forêt,4.445590305123633,1372,0.11196344050922148,0.6480669550068666
Forêt,4.565741394451299,1334,0.10886241227354333,0.6410842488871458
Forêt,4.685892483778965,1293,0.10551656601925902,0.6333675689981374
Forêt,4.806043573106631,1257,0.10257874979598498,0.6264153474570788
Forêt,4.9261946624342965,1222,0.09972253957891301,0.6194771347388148
Forêt,5.0463457517619625,1193,0.09735596539905338,0.6135952908791893
Forêt,5.166496841089629,1149,0.09376530112616288,0.604452489958664
Forêt,5.286647930417294,1123,0.09164354496490942,0.5989204000317727
Forêt,5.40679901974496,1097,0.08952178880365595,0.593266127800063
Forêt,5.526950109072626,1066,0.0869920026113922,0.5863619428976267
Forêt,5.647101198400291,1029,0.08397258038191611,0.5779451152705101
Forêt,5.767252287727957,1016,0.08291170230128937,0.5749261897718807
Forêt,5.887403377055623,986,0.08046352211522768,0.5678180497813932
Forêt,6.007554466383288,962,0.07850497796637833,0.5620060679579082
Forêt,6.127705555710954,946,0.07719928186714542,0.558063078663764
Forêt,6.24785664503862,929,0.07581197976171046,0.5537905517884512
Forêt,6.3680077343662855,907,0.07401664762526522,0.5481323492767005
Forêt,6.488158823693952,889,0.07254773951362821,0.543422916205546
Forêt,6.608309913021618,867,0.07075240737718295,0.5375651706778551
Forêt,6.728461002349283,847,0.06912028725314183,0.5321370223951375
Forêt,6.848612091676949,825,0.06732495511669659,0.5260614527494188
Forêt,6.968763181004615,805,0.06569283499265546,0.5204382178411207
Forêt,7.088914270332281,789,0.06438713889342255,0.515852503445275
Forêt,7.209065359659946,764,0.06234698873837114,0.5085908016579729
Forêt,7.329216448987612,756,0.061694140688754694,0.5062235067753066
Forêt,7.449367538315278,737,0.06014362657091562,0.5005031511759883
Forêt,7.569518627642943,716,0.058429900440672436,0.49409270680064865
Forêt,7.689669716970609,703,0.0573690223600457,0.4900556609491828
Forêt,7.8098208062982755,692,0.05647135629182308,0.4865905192682409
Forêt,7.929971895625941,674,0.05500244818018606,0.48082514242836194
Forêt,8.050122984953607,663,0.05410478211196344,0.4772355574936308
Forêt,8.170274074281272,654,0.05337032805614493,0.47427687442620514
Forêt,8.290425163608939,643,0.05247266198792231,0.47058897684455936
Forêt,8.410576252936604,630,0.051411783907295575,0.4661750347272055
Forêt,8.530727342264269,613,0.050024481801860615,0.4603166882283234
Forêt,8.650878431591936,602,0.049126815733637995,0.4564680180218698
Forêt,8.771029520919601,586,0.04782111963440509,0.45079650164404256
Forêt,8.891180610247266,576,0.04700505957238453,0.4472152219257476
Forêt,9.011331699574933,568,0.046352211522768076,0.444295849303417
Forêt,9.131482788902598,556,0.0453729394483434,0.439874193883112
Forêt,9.251633878230264,548,0.044720091398726944,0.43688307399032533
Forêt,9.37178496755793,541,0.044148849355312554,0.4342300312657554
Forêt,9.491936056885596,535,0.043659213318100215,0.4319285927184432
Forêt,9.612087146213263,525,0.042843153256079645,0.4280466661922443
Forêt,9.732238235540928,514,0.041945487187857025,0.4237123915691471
Forêt,9.852389324868593,506,0.04129263913824058,0.4205236554724925
Forêt,9.97254041419626,499,0.04072139709482618,0.41770314480661197
Forêt,10.092691503523925,493,0.04023176105761384,0.4152582147420484
Forêt,10.21284259285159,487,0.0397421250204015,0.41277811007499154
Forêt,10.332993682179257,479,0.03908927697078505,0.4094423191177067
Forêt,10.453144771506922,472,0.03851803492737065,0.4064807043048212
Forêt,10.573295860834588,463,0.03778358087155215,0.40263211083027123
Forêt,10.693446950162254,454,0.037049126815733635,0.3987420316252729
Forêt,10.81359803948992,447,0.036477884772319245,0.39567392228727444
Forêt,10.933749128817585,439,0.03582503672270279,0.3921369574570966
Forêt,11.053900218145252,435,0.03549861269789457,0.39035386353073187
Forêt,11.174051307472917,429,0.03500897666068223,0.38763278041629684
Forêt,11.294202396800582,416,0.03394809858005549,0.38169324271787364
Forêt,11.414353486128249,411,0.03354006854904521,0.3793860113261136
Forêt,11.534504575455914,409,0.033376856536641096,0.3784529491291394
Forêt,11.65465566478358,405,0.03305043251183287,0.37656460075698595
Forêt,11.774806754111246,400,0.03264240248082259,0.37417877267635513
Forêt,11.894957843438911,396,0.03231597845601436,0.372255569929454
Forêt,12.015108932766577,389,0.03174473641259997,0.3688483670155137
Forêt,12.135260022094243,384,0.03133670638158968,0.3663941928536362
Forêt,12.255411111421909,380,0.03101028235678146,0.3644092494791643
Forêt,12.375562200749574,375,0.030602252325771177,0.36190361579687375
Forêt,12.49571329007724,370,0.030194222294760896,0.3593717678728977
Forêt,12.615864379404906,366,0.02986779826995267,0.3573254853732862
Forêt,12.736015468732571,359,0.029296556226538272,0.3537189825893827
Forêt,12.856166558060238,357,0.02913334421413416,0.3526771264216441
Forêt,12.976317647387903,355,0.02897013220173005,0.3516282541574531
Forêt,13.096468736715568,350,0.028562102170719764,0.3489789145414281
Forêt,13.216619826043235,343,0.02799086012730537,0.3452325201298516
Forêt,13.3367709153709,334,0.027256406071486862,0.34036916779198745
Forêt,13.456922004698566,329,0.02684837604047658,0.33764334924287775
Forêt,13.577073094026233,324,0.026440346009466296,0.33489590810012504
Forêt,13.697224183353898,320,0.026113921984658072,0.33267899888965835
Forêt,13.817375272681565,314,0.025624285947445733,0.3293234333569429
Forêt,13.93752636200923,310,0.025297861922637506,0.32706499426078056
Forêt,14.057677451336895,309,0.02521625591643545,0.32649454657086585
Forêt,14.177828540664562,304,0.024808225885425167,0.323618600427078
Forêt,14.297979629992227,298,0.024318589848212828,0.32014317034816475
Forêt,14.418130719319892,297,0.02423698384201077,0.31955857256456915
Forêt,14.53828180864756,292,0.02382895381100049,0.3166156227372604
Forêt,14.658432897975224,285,0.023257711767586096,0.3124575926852159
Forêt,14.77858398730289,284,0.023176105761384038,0.3118596511732981
Forêt,14.898735076630556,283,0.02309449975518198,0.3112540424422309
Forêt,15.018886165958222,280,0.02284968173657581,0.3094274618737021
Forêt,15.139037255285887,276,0.022523257711767587,0.3069710453823213
Forêt,15.259188344613554,273,0.022278439693161418,0.3051147231718839
Forêt,15.379339433941219,270,0.022033621674555248,0.3032442755923563
Forêt,15.499490523268884,268,0.021870409662151133,0.3019903372390075
Forêt,15.619641612596551,263,0.02146237963114085,0.2988260743830305
Forêt,15.739792701924216,259,0.021135955606332624,0.29627477385992224
Forêt,15.859943791251881,255,0.0208095315815244,0.29370320742259454
Forêt,15.980094880579548,252,0.02056471356291823,0.2917592463745008
Forêt,16.100245969907213,250,0.02040150155051412,0.29045346874292194
Forêt,16.22039705923488,248,0.020238289538110004,0.2891363688197465
Forêt,16.340548148562544,247,0.02015668353190795,0.28847307429913094
Forêt,16.46069923789021,242,0.019748653500897665,0.2851396251318519
Forêt,16.580850327217878,241,0.01966704749469561,0.2844657208340007
Forêt,16.70100141654554,239,0.019503835482291496,0.28310908976457366
Forêt,16.821152505873208,235,0.019177411457483272,0.280381100144922
Forêt,16.941303595200875,233,0.019014199445079157,0.2790090997154519
Forêt,17.061454684528538,232,0.018932593438877102,0.2783153279637282
Forêt,17.181605773856205,229,0.018687775420270933,0.2762214268517687
Forêt,17.301756863183872,227,0.018524563407866818,0.2748164334365552
Forêt,17.421907952511535,226,0.018442957401664763,0.2741117585428035
Forêt,17.542059041839202,223,0.018198139383058594,0.2719789437305382
Forêt,17.66221013116687,219,0.017871715358250367,0.2691150428499526
Forêt,17.782361220494533,216,0.017626897339644197,0.26695498206154034
Forêt,17.9025123098222,212,0.017300473314835974,0.2640518055287159
Forêt,18.022663399149867,210,0.017137261302431858,0.2625898912733918
Forêt,18.14281448847753,209,0.017055655296229804,0.2618557697308888
Forêt,18.262965577805197,204,0.01664762526521952,0.2581526115247205
Forêt,18.383116667132864,201,0.01640280724661335,0.25591420444679397
Forêt,18.503267756460527,199,0.016239595234209238,0.2544133647836749
Forêt,18.623418845788194,198,0.01615798922800718,0.2536563524521455
Forêt,18.74356993511586,195,0.01591317120940101,0.2513728116558916
Forêt,18.863721024443524,195,0.01591317120940101,0.2513728116558916
Forêt,18.98387211377119,193,0.0157499591969969,0.24983215963308866
Forêt,19.10402320309886,188,0.015341929165986616,0.245956183827702
Forêt,19.224174292426525,186,0.015178717153582504,0.24439577469555815
Forêt,19.34432538175419,184,0.01501550514117839,0.24282892149141833
Forêt,19.464476471081856,182,0.014852293128774278,0.24124743335726553
Forêt,19.584627560409523,181,0.01477068712257222,0.2404516798736304
Forêt,19.704778649737186,179,0.014607475110168109,0.23885675985992916
Forêt,19.824929739064853,177,0.014444263097763995,0.23724758944007696
Forêt,19.94508082839252,173,0.01411783907295577,0.23400719219314683
Forêt,20.065231917720183,169,0.013791415048147543,0.23075061281386738
Forêt,20.18538300704785,167,0.013628203035743431,0.2291156895742224
Forêt,20.305534096375517,165,0.013464991023339317,0.22746910132641682
Forêt,20.42568518570318,163,0.013301779010935206,0.2258121100344071
Forêt,20.545836275030847,161,0.013138566998531092,0.2241456608782752
Forêt,20.665987364358514,157,0.012812142973722867,0.2207955255503292
Forêt,20.786138453686178,156,0.012730536967520809,0.21995379573976895
Forêt,20.906289543013845,156,0.012730536967520809,0.21995379573976895
Forêt,21.02644063234151,153,0.01248571894891464,0.21739808201555444
Forêt,21.146591721669175,152,0.012404112942712583,0.21653811705613582
Forêt,21.266742810996842,151,0.012322506936510528,0.21567328587851928
Forêt,21.38689390032451,151,0.012322506936510528,0.21567328587851928
Forêt,21.507044989652172,150,0.01224090093030847,0.21480149428901044
Forêt,21.62719607897984,148,0.012077688917904358,0.21304580271324275
Forêt,21.747347168307506,147,0.011996082911702302,0.2121614464826879
Forêt,21.86749825763517,145,0.011832870899298189,0.2103870165536029
Forêt,21.987649346962836,143,0.011669658886894075,0.20860672662794053
Forêt,22.107800436290503,141,0.011506446874489963,0.20681428304629942
Forêt,22.227951525618167,138,0.011261628855883794,0.20411085877998003
